id,Item name*,Category,Current stock,Selling price,Sales tax included,Purchase price,Purchase tax included,HSN,GST tax rate (%),MRP
f90eed6e-59ff-4a18-be49-7cfe2a9dbc57,Little's Bottle 85.00,,6,80,With tax,64,With tax,,0,85
24eab2c7-854c-40c9-b295-fdcf98fcd624,Livon Serum 20ml 60.00,,3,57,Without tax,54.15,Without tax,,0,60
7e197eec-abab-45c0-b7ba-9a915cc57938,Livon Serum 50ml 150.00,,6,145,Without tax,135.36,Without tax,,0,150
7f4b798e-1bbc-49e4-8c5b-151d27d3cae9,Lizol 2 Lit. 362.00,,4,350,Without tax,329.09,Without tax,,0,362
c38a2d8f-04f7-492f-8fa0-f40ac70f27ae,Lizol 5 Lit.,,3,750,Without tax,615.99,Without tax,,0,770
ab8e0366-22b2-4f6e-9d25-ce9f9c9e87c8,Lizol 975ml 179.00,,12,174,With tax,162.72,With tax,,0,179
a900c303-888e-41f8-8d42-1060fded6367,Local Noodles 45.00,,24,35,With tax,25,With tax,,0,45
4f3beac4-26f9-4148-bcd9-ea5fe228f71d,Local Salt Prize 1kg 10.00,,125,10,With tax,6.8,With tax,,0,10
9ecb2885-2090-4fc2-8657-97b10785dd27,Loreal Casting Color 169.00,,9,164,Without tax,150.89,Without tax,,0,169
2f18faf4-1d40-4395-a704-afaf8f32e984,Loreal Casting Color 199.00,,3,194,With tax,177.68,With tax,,0,199
4579c1c1-3686-46db-8a2f-8f7710349c84,Loreal Casting Color 550.00,,5,540,Without tax,491.07,Without tax,,0,550
d45a3ebe-2259-489d-bfdb-769701bc2b02,Loreal Conditioner 199.00,,3,190,Without tax,177.68,Without tax,,0,199
773430f3-e39f-4476-af1d-b580f96b0d18,Loreal Excellence Color 249.00,,11,240,Without tax,222.32,Without tax,,0,249
ecc9c236-28ab-4fa3-98cf-a6ea37d56de6,Loreal Excellence Color 550.00,,3,540,Without tax,482.14,Without tax,,0,550
7df04fe8-7b33-414e-b45d-68f070b6562f,Loreal Excellence Color 570.00,,3,550,Without tax,508.93,Without tax,,0,570
f7fafe3f-b1ae-42ef-9587-b92f65bed59f,Loreal Excellence Color 620.00,,6,600,Without tax,553.57,Without tax,,0,620
e1dad733-8009-4ebe-aa90-cd3415997fdd,Loreal Serum 40ml 150.00,,3,144,With tax,133.93,With tax,,0,150
2211f11b-3ac5-4fb2-bea6-2f9b60d8d4c3,Loreal Shampoo 175ml 99.00,,3,95,With tax,88.39,With tax,,0,99
ce08fa9a-bcfd-4f1c-898d-f309d11687eb,Loreal Shampoo 192.5ml (135.00),,5,130,Without tax,120.54,Without tax,,0,135
ccb88ab9-76a7-446d-bfe0-3ad0f530bd72,Loreal Shampoo 4.00,,32,4,Without tax,3.23,Without tax,,0,4
ea368491-568c-4dcd-b7ef-681840768dfa,Loreal Total Repair 5 Shampoo 192.5ml (199.00),,3,194,Without tax,177.68,Without tax,,0,199
53273708-b7bf-43b5-9089-51cb8892b5f8,Lotte Coffy Bite Classic,,3,48,Without tax,42,Without tax,,0,50
bae5a2f9-777b-457f-a610-78126ccb0fc5,Lotus Cream 280.00,,3,274,With tax,246,With tax,,0,280
65acc42a-11f3-4fec-82e0-851362283a05,Lotus F/W 140.00,,3,135,With tax,126,With tax,,0,140
2f24b85b-1b7e-4cf3-9df1-e85b56417906,Ludo,,6,15,With tax,7.5,With tax,,0,15
